item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM000001,ORD000982,PROD0048,4,8696.57,11
ITEM000002,ORD001005,PROD0483,2,9635.23,10
ITEM000003,ORD000808,PROD0352,5,53985.04,27
ITEM000004,ORD000825,PROD0052,5,4911.1,0
ITEM000005,ORD000774,PROD0197,1,13792.94,41
ITEM000006,ORD000271,PROD0128,1,5577.4,38
ITEM000008,ORD000175,PROD0104,2,49283.37,28
ITEM000009,ORD000630,PROD0170,4,29161.23,44
ITEM000010,ORD001114,PROD0064,1,19096.48,18
ITEM000011,ORD000851,PROD0073,1,20281.87,27
ITEM000012,ORD000724,PROD0336,3,12167.97,24
ITEM000013,ORD000231,PROD0252,2,54556.64,18
ITEM000015,ORD000365,PROD0220,5,42191.48,27
ITEM000016,ORD000618,PROD0320,3,7744.39,31
ITEM000017,ORD000544,PROD0416,1,56443.72,9
ITEM000018,ORD000301,PROD0164,2,40582.42,50
ITEM000019,ORD000138,PROD0058,5,31403.15,9
ITEM000020,ORD000262,PROD0094,4,2948.81,30
ITEM000021,ORD000848,PROD0309,3,59885.08,15
ITEM000022,ORD001126,PROD0255,5,30008.22,14
ITEM000023,ORD001190,PROD0367,4,13420.04,47
ITEM000024,ORD000179,PROD0121,-3,60718.07,1
ITEM000025,ORD000971,PROD0491,2,3792.13,22
ITEM000026,ORD000286,PROD0151,4,60763.66,26
ITEM000027,ORD000460,PROD0029,2,66976.78,9
ITEM000028,ORD000054,PROD0357,4,56428.68,42
ITEM000029,ORD000977,PROD0429,5,33246.7,23
ITEM000030,ORD000502,PROD0040,1,52925.19,9
ITEM000031,ORD000963,PROD0381,2,48424.5,19
ITEM000032,ORD000691,PROD0228,1,39124.1,41
ITEM000033,ORD000356,PROD0258,-2,48343.6,43
ITEM000034,ORD000931,PROD0284,3,19586.21,45
ITEM000035,ORD000322,PROD0140,1,60025.49,8
ITEM000036,ORD000821,PROD0317,1,28779.83,47
ITEM000037,ORD000159,PROD0419,4,56464.23,25
ITEM000038,ORD000338,PROD0028,3,8537.66,6
ITEM000039,ORD000743,PROD0309,-3,49156.05,34
ITEM000040,ORD000434,PROD0306,1,57560.09,35
ITEM000041,ORD000067,PROD0124,3,65417.19,2
ITEM000043,ORD000579,PROD0491,4,4136.17,25
ITEM000044,ORD000266,PROD0360,1,49430.85,32
ITEM000045,ORD000308,PROD0013,5,40341.35,2
ITEM000046,ORD000311,PROD0350,4,10780.61,45
ITEM000047,ORD000442,PROD0414,2,32419.85,32
ITEM000048,ORD001072,PROD0477,3,14945.96,18
ITEM000049,ORD000883,PROD0021,4,65487.25,38
ITEM000050,ORD000313,PROD0291,4,43266.38,49
ITEM000051,ORD001121,PROD0445,1,52227.18,10
ITEM000052,ORD000331,PROD0035,3,42151.76,4
ITEM000053,ORD000944,PROD0133,4,59459.43,28
ITEM000055,ORD000822,PROD0210,5,3312.25,23
ITEM000056,ORD000643,PROD0192,1,12660.78,16
ITEM000059,ORD000457,PROD0199,4,831.31,29
ITEM000060,ORD000953,PROD0056,1,54555.75,25
ITEM000061,ORD000409,PROD0206,3,43563.5,38
ITEM000062,ORD000976,PROD0059,3,11480.97,30
ITEM000063,ORD000438,PROD0164,5,39176.43,24
ITEM000064,ORD000741,PROD0405,4,7849.91,13
ITEM000065,ORD000867,PROD0139,3,28281.62,4
ITEM000066,ORD000168,PROD0153,4,24050.32,42
ITEM000067,ORD000377,PROD0426,1,72601.88,21
ITEM000068,ORD000609,PROD0085,2,58156.9,30
ITEM000069,ORD000330,PROD0495,4,34850.16,24
ITEM000070,ORD001149,PROD0401,5,16647.63,37
ITEM000071,ORD000664,PROD0341,-3,51924.13,9
ITEM000072,ORD000649,PROD0059,4,12098.4,28
ITEM000073,ORD000258,PROD0325,4,23985.68,2
ITEM000074,ORD000385,PROD0216,5,61475.12,13
